, x, y
1, -73.97200, 40.61127
2, -73.97183, 40.60451
3, -73.96879, 40.59574
4, -73.96558, 40.60922
5, -73.95387, 40.61012
6, -73.94998, 40.60615
7, -73.94939, 40.60108
8, -73.94900, 40.59569
9, -73.95654, 40.59278
10, -73.95397, 40.60341
11, -73.96485, 40.60456
12,-73.95985,40.59827
13,-73.95740,40.60792
14,-73.96776,40.60023
15,-73.95833,40.60133
16,-73.96260,40.59307
17,-73.95363,40.59863
18,-73.96090,40.61005
19,-73.97240,40.59222
20,-73.97250,40.59903
21,-73.96381,40.59759
22,-73.96155,40.60724
23,-73.96853,40.60789
24,-73.96751,40.59284
25,-73.94842,40.61131
26,-73.96554,40.59485
27,-73.95860,40.59390
28,-73.96219,40.60273
29,-73.96785,40.60590
30,-73.95743,40.61190
31,-73.95271,40.59409
32,-73.95634,40.59654
33,-73.95332,40.60621
34,-73.96196,40.59522
35,-73.96532,40.60715
36,-73.95709,40.60522
