,x,y
1,-73.97259,40.606671
2,-73.963853,40.612433
3,-73.972398,40.605652
4,-73.971379,40.611602
5,-73.962357,40.602203
6,-73.970793,40.603518
7,-73.972352,40.603348
8,-73.964781,40.612331
9,-73.965708,40.612228
10,-73.972398,40.611491
11,-73.972453,40.602617
12,-73.969525,40.611808
13,-73.972673,40.612936
14,-73.972565,40.601794
15,-73.966793,40.612109
16,-73.966309,40.609555
17,-73.971913,40.608936
18,-73.961857,40.612654
19,-73.970896,40.60905
20,-73.960921,40.612757
21,-73.970991,40.604322
22,-73.96997,40.60915
23,-73.968434,40.611927
24,-73.970452,40.611704
25,-73.965224,40.609674
26,-73.962138,40.601626
27,-73.960004,40.612854
28,-73.963891,40.60763
29,-73.968153,40.61196
30,-73.968656,40.602226
31,-73.97305,40.604282
32,-73.97066,40.602808
33,-73.96788,40.611992
34,-73.971312,40.605776
35,-73.963297,40.604496
36,-73.962547,40.605226
37,-73.965899,40.60741
38,-73.968634,40.607106
39,-73.962886,40.607021
40,-73.965656,40.606122
41,-73.962985,40.60285
42,-73.972911,40.599315
43,-73.967938,40.609371
44,-73.969041,40.609254
45,-73.967402,40.609433
46,-73.965435,40.604954
47,-73.962534,40.600461
48,-73.97143,40.601919
49,-73.96238,40.609986
50,-73.964997,40.60263
51,-73.964816,40.607529
52,-73.964296,40.609777
53,-73.967671,40.609405
54,-73.971506,40.606791
55,-73.963724,40.606758
56,-73.96956,40.607005
57,-73.96337,40.609879
58,-73.970488,40.606905
59,-73.960066,40.603171
60,-73.960444,40.610202
61,-73.962971,40.607729
62,-73.957261,40.608366
63,-73.964344,40.605032
64,-73.969094,40.604551
65,-73.964617,40.606479
66,-73.969576,40.602122
67,-73.970509,40.602021
68,-73.95952,40.610302
69,-73.971761,40.598652
70,-73.961886,40.607336
71,-73.972684,40.594753
72,-73.96754,40.607232
73,-73.961966,40.607843
74,-73.971911,40.599423
75,-73.959612,40.600781
76,-73.957186,40.613165
77,-73.961373,40.610099
78,-73.960037,40.60803
79,-73.95828,40.608747
80,-73.967262,40.607262
81,-73.966993,40.60729
